鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
中山區,建物,臺北市中山區林森北路501~550號,0.0,商,,,10211,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,48.1,1,1,1,有,有,有,30000,624,,0.0,0
中山區,建物,臺北市中山區建國北路二段1~50號,0.0,住,,,10211,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950713,127.83000000000001,1,1,1,有,有,有,30000,235,,0.0,0
內湖區,建物,臺北市內湖區民權東路六段101~150號,0.0,商,,,10211,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,108.59,2,1,1,有,有,有,52000,479,坡道平面,0.0,0
中山區,建物,臺北市中山區農安街1~50號,0.0,商,,,10211,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0861126,67.69,2,1,1,有,有,有,25000,369,,0.0,0
內湖區,建物,臺北市內湖區內湖路一段701~750號,0.0,商,,,10212,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001028,240.79,4,2,3,有,有,有,95000,395,坡道平面,0.0,0
松山區,建物,臺北市松山區健康路51~100號,0.0,住,,,10211,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0860805,200.89,3,2,2,有,有,有,55000,274,,0.0,0
松山區,建物,臺北市松山區光復北路101~150號,0.0,商,,,10212,土地0建物1車位0,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,0801211,446.78,0,0,0,無,有,無,150000,336,,0.0,0
信義區,建物,臺北市信義區和平東路三段151~200號,0.0,商,,,10211,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,83.73,1,1,1,有,有,有,30000,358,,0.0,0
松山區,建物,臺北市松山區八德路三段106巷51~100號,0.0,住,,,10211,土地0建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970114,250.04000000000002,3,2,2,有,有,有,100000,400,坡道平面,34.5,0
信義區,建物,臺北市信義區基隆路一段401~450號,0.0,商,,,10211,土地0建物1車位0,九層,15,辦公商業大樓,商業用,鋼筋混凝土造,,77.03,0,0,0,無,有,無,37500,487,,0.0,0
信義區,建物,臺北市信義區松山路401~450號,0.0,商,,,10211,土地0建物1車位0,八層,17,辦公商業大樓,住家用,鋼骨鋼筋混凝土造,0820514,148.73,2,2,1,有,無,有,40000,269,,0.0,0
信義區,建物,臺北市信義區和平東路三段391巷1~50號,0.0,住,,,10211,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,,83.93,0,0,0,無,無,無,30000,357,,0.0,0
信義區,房地(土地+建物)+車位,臺北市信義區仁愛路四段401~450號,18.49,住,,,10211,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990806,241.19,4,2,2,有,有,有,135000,560,坡道平面,28.71,0
信義區,房地(土地+建物),臺北市松山區永吉路200巷11弄1~50號,145.0,商,,,10211,土地2建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,94.31,3,2,1,有,無,無,15000,159,,0.0,0
